,Total,Total Detected,Misuse 1,Classification,Impact,ML step,Misuse 5,Misuse 6,Misuse. 7,Misuse 8,Misuse 9,Misuse 10,Misuse 11,Misuse 12,Misuse 13,Misuse 14
31556268.txt,7,7,Line 11 : No key l2 (Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 25: No key show_accuracy(Unknown Argument Name),Unknown Argument Name,Deprecated,Training,,,,,,,,,,
,,,Line 7: Key init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Linr 9: Key init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,nb_rpoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Training,,,,,,,,,,
,,,Line 7: key output_dim is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 9: key output_dim is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
31880720.txt,10,8,Line 2: Dense can take single positional argument,Type Missmatch,Exception,Modeling,,,,,,,,,,
,,,Line 2: First layer should have input_shape or input_dim(Missing Required Argument),Missing Required Argument,Exception,Modeling,,,,,,,,,,
,,,Line 8: Dense can take only 1 positional argument,Type Missmatch,Exception,Modeling,,,,,,,,,,
,,,Libe 5: Dense can take only 1 positional argument,Type Missmatch,Exception,Modeling,,,,,,,,,,
,,,Line 15: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 15: fit doesn't have show_accuracy keyword(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 18 : Evaluate doesn't contain the show accuracy keyword(Unknown Argument Name),Unknown Argument Name,Deprecated,evaluation,,,,,,,,,,
,,,Line 19: Invalid index to scaalr variable,Type Missmatch,Exception,evaluation,,,,,,,,,,
,,,Line 20: Invalid index to scalar variable,Type Missmatch,Exception,evaluation,,,,,,,,,,
,,,softmax activation used in the dense layer having output dim 1(Inconsistent Argument Value - Multiple),Inconsistent Argument Value - Multiple,Performance,tuning,,,,,,,,,,
33474424.txt,1,1,Line 6: init key is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Missing Model.compile(Missing Method Call),Missing Method Call,Performance,prediction,,,,,,,,,,
33564181.txt,1,1,Line 15: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,"X_train, y_train must be numpy array(solution: we can make a suggestion that every X_train, Y_train need to be convert to numpy array)(Type Missmatch)",Type Missmatch,Exception,training,,,,,,,,,,
34311586.txt,5,5,Line 9: init keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 10: initi keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 11 init keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 11: Dense layer has units =1 and activation = softmax(Inconsistent Argument Value - Single),Inconsistent Argument Value - Single,Performance,tuning,,,,,,,,,,
,,,Line 15: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
34717241.txt,6,5,Line 2 init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 3 init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 6 init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 14 fit doesn't have show_accuracy kw(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 9 init keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 4 act should used without having Activation(Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
35968973.txt,2,2,Line 6: init key is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 14: nb_epoch keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,"X_train, y_train must be numpy array(solution: we can make a suggestion that every X_train, Y_train need to be convert to numpy array)(Type Missmatch)",Type Missmatch,Exception,training,,,,,,,,,,
36392966.txt,0,0,Line 8: shape mismatch (Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
37085653.txt,2,1,Line 1: border_mode key is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 1: input_shape should be of dimension 3 (Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
37666887.txt,1,1,Line 1: Compile missing required arguments(Missing Required Argument),Missing Required Argument,Exception,training,,,,,,,,,,
37758496.txt,6,6,Line 25: input keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 25: output keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 38: input keyword deprecatted(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 38: output keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 29: inpput keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 29: output keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 38: (Inconsistent Argument Value - Multiple),Inconsistent Argument Value - Multiple,Exception,Modeling,,,,,,,,,,
37817588.txt,7,6,Line 41 output_dim keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 43 output_dim keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 47: merge function is deprecated(Unknown Method Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 56: input is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 56: output is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 53: output_dim is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 66: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 37: nb_words + 1(Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
37891954.txt,1,0,"Line 16: X_train, y_train must be numpy array(solution: we can make a suggestion that every X_train, Y_train need to be convert to numpy array)(Type Missmatch)",Type Missmatch,Exception,prediction,,,,,,,,,,
39018767.txt,4,4,Line 1: Channel should go last(Incorrect Argument Value),Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 2: Conv2D argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 2: border_mode is deprecated,Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 3: Conv2DTranspose takes only two positional argument,Incorrect Values,Exception,Modeling,,,,,,,,,,
39376169.txt,3,3,Line 15: channlel should be last(Incorrect Argument Value),Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 18: The positional arguments,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 21: The positional arguments,Type Mismatch,Exception,Modeling,,,,,,,,,,
40331510.txt,1,1,Line 2: return sequences should be True(Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
40955942.txt,5,5,Line 8: positonal argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 8: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 9: positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 9: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 26: PSNRLoss should be passed as custom object(Inconsistent Argument Value - Multiple),Inconsistent Argument Value - Multiple,Exception,Modeling,,,,,,,,,,
41563720.txt,4,4,Line 2: positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,compile should be called before fit_generator(Missing Method Call),Missing Method Call,Performance,training,,,,,,,,,,
,,,Line 3:nb_epoch deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 3: nb_val_samples deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
41651628.txt,6,4,Line 31: Reshape should have column last,Incorrect Values,Exception,training,,,,,,,,,,
,,,Line 32: Reshape should have column last,Incorrect Values,Exception,training,,,,,,,,,,
,,,Line 51: positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 52: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 53: input_shape need to have channel last,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 71: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
41668813.txt,11,10,Line 7: channel should be last,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 10 Channel should be last,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 11: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 11: subsample key deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 11: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 14: Extra postioal argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 14: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 18: input is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 18: output is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 41: input is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 41: output is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
41764041.txt,5,5,Line 24: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 27: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 31: input is deprecated,Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 31: output is deprecated,Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 39: nb_epoch deprectated,Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,using fit instead of fit_generator,Wrong Method Call,Exception,training,,,,,,,,,,
41863921.txt,2,2,Line 17: nb_epoch deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 14: input_dim deprecated for LSTM(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/debug/41884001.txt,3,2,Line 24: Channleshould be last(Incorrect Argument Value),Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 92: nb_epoch deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 93: nb_val_samples deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
41933958.txt,5,3,Line 28: dropout not supported in Embedding(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 28: number of words should be 1 + vocablen(Incorrect Argument Value),Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 28: dropout_W deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 28 dropout_U deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 34 nb_epoch deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
42081257.txt,13,11,Line 2: channel should be last(Incorrect Argument Value),Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 3: extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 5: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 8: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 10: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 13: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 17: extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 20: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 22: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 24: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 27: Extra postional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 29: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 31: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
42815131.txt,4,4,Line 14: init kw deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 15: init kw deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 16: init kw deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 20: nb_epoch deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
42856886.txt,1,1,Session variable not started while trying to attempt to write ti session(redudant Method Call),redudant Method Call,Exception,Modeling,,,,,,,,,,
42947295.txt,1,1,Line 6: Channels should go last(Incorrect Argument Value),Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 6: Missing Required Argument,Missing Required Argument,Exception,Modeling,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/debug/42969779.txt,1,0,Line 12: Merge is deprecated(Unknown Method Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Mising Method Call: model.add(Dropout(dropout)),Mising Method Call,Performance,tuning,,,,,,,,,,
43117654.txt,2,2,Line 2: input_dim deprecated for LSTM(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 2: output_dim deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
43196636.txt,0,0,,,,,,,,,,,,,,
43235531.txt,3,2,Line 4: input_shape should be of size 2,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 8: The first argument is double(Type mismatch),Type mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 8: init keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
43509881.txt,1,1,model needs to be compiled before fit(Missing Method Call),Missing Method Call,Performance,training,,,,,,,,,,
43542226.txt,2,2,compile api needs to be called before fit_generator(Missing Method Call),Missing Method Call,Performance,training,,,,,,,,,,
,,,Line 30: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
43855162.txt,1,0,Line 11: The loss fnction is unknown(Type Mismatch),Type mismatch,Exception,training,,,,,,,,,,
43871575.txt,3,2,Line 10: misuse of eval,Incorrect reciever,performance,evaluation,,,,,,,,,,
,,,Line 6: placeholder is not feed,Missing Method Call,Performance,data,,,,,,,,,,
,,,Line 7: placeholder is not feed,Missing Method Call,Performance,data,,,,,,,,,,
44132652.txt,1,1,fit api needs to be called before predict(Missing Method Call),Missing Method Call,Performance,prediction,,,,,,,,,,
44472693.txt,1,1,Line 20: Model API,Incorrect Values,Exception,Modeling,,,,,,,,,,
44991470.txt,2,1,Line 4: Channel should go last,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 7: PReLU should be added as separate layer,Missing Method Call,Performance,Modeling,,,,,,,,,,
,,,Line 8: Type Mismatch,type mismatch,Exception,Modeling,,,,,,,,,,
45103692.txt,1,1,Line 8: output_dim is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
45193744.txt,0,0,,,,,,,,,,,,,,
45411902.txt,1,1,User defined metric should be passed as custom object while loading model(Inconsistent Argument Value - Multiple),Inconsistent Argument Value - Multiple,Exception,Modeling,,,,,,,,,,
45479239.txt,2,0,Line 3: Dataframe should be converted to matrix(type mismatch),type mismatch,Exception,training,,,,,,,,,,
,,,"Line 4: DataFrame should be converted to matrix(type mismatch)(solution: we can make a suggestion that every X_train, Y_train need to be convert to numpy array)",type mismatch,Exception,training,,,,,,,,,,
45645276.txt,1,1,Line 1: extra positional argument,type mismatch,Exception,Modeling,,,,,,,,,,
45687019.txt,0,0,"Incorrect build_model([328,132300,2])",Incorrect Value,Exception,Modeling,,,,,,,,,,
45799474.txt,1,1,Embedding api arg0 should have 1 plus vocab size(Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
46770721.txt,1,1,Line 2: Should not take arguments,Incorrect Argument Value,Exception,data,,,,,,,,,,
48155026.txt,1,1,fit api needs to be called before predict(Missing Method Call),Missing Method Call,Performance,prediction,,,,,,,,,,
,,,Line 17: Incorrect Values,Incorrect Values,Exception,prediction,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/no%20debug%20keras/33380897.txt,9,7,Line 12: nb_word should be 1 more(Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
,,,Line 13: Convolution1D deprecated(Unknown Method Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 13: border_mode deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 14: subsample deprecated,Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 13: filter_length: deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 14: pool_length deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 21: nb_epoch deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,training,,,,,,,,,,
,,,Line 21: fit doesn't have show_accuracy(Unknown Argument Name),Unknown Method Name,Deprecated,training,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/no%20debug%20keras/36136562.txt,3,3,Line 1: input_dim deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 1: output_dim deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 3: fit deosn't have show_accuracy(Unknown Argument Name),Unknown Method Name,Deprecated,training,,,,,,,,,,
,,,Missing condition: Need to preprocess data,Missing condition,Exception,data,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/no%20debug%20keras/37609892.txt,2,2,Line 11: fit_genrator is called without calling compile(Missing Method Call),Missing Method Call,Performance,training,,,,,,,,,,
,,,Line 12: nb_epoch is deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,training,,,,,,,,,,
,,,line 5: Redundant Iteration,Redundant Iteration,Exception,training,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/no%20debug%20keras/37641854.txt,2,2,Line 4: fit_genrator called without compile(Missing Method Call),Missing Method Call,Performance,training,,,,,,,,,,
,,,Line 4: nb_epoch deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,training,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/no%20debug%20keras/38105999.txt,3,3,Line 2: output_dim deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 2: input_length deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 2: input_length deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,Modeling,,,,,,,,,,
,,,mising input_shape,Incorrect Values,Exception,Modeling,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/no%20debug%20keras/38445982.txt,2,2,Line 12: compile not called before fit_generator(Missing Method Call),Missing Method Call,Performance,training,,,,,,,,,,
,,,Line 11: nb_epoch deprecated(Unknown Argument Name),Unknown Method Name,Deprecated,training,,,,,,,,,,
https://github.com/johirbuet/mlslice/blob/master/data/Keras/no%20debug%20keras/40220683.txt,4,3,Line 9: extra positional argument,type mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 9: Channel should be last,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 12: extra positional argument,type mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 22: softmax should be String(Type Mismatch),type mismatch,Exception,Modeling,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,166,143,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,TP,143,,,,,,,,,,,,,,
,FP,9,,,,,,,,,,,,,,
,FN,23,,,,,,,,,,,,,,
,Precison,0.940789474,,,,,,,,,,,,,,
,Recall,0.861445783,,,,,,,,,,,,,,
